epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.048,2.35744,2.29336,3.01308,0.54125,0.26508,0.3232,0.20828,1.82862,3.27374,2.36106,0.000331019,0.000331019,0.0672292
2,358.083,1.29189,0.96891,1.85412,0.88775,0.86734,0.93358,0.66397,1.07794,0.9137,1.60143,0.000651198,0.000651198,0.034216
3,537.231,1.10126,0.82219,1.55041,0.945,0.88983,0.95047,0.73109,0.93111,0.76648,1.4809,0.000958177,0.000958177,0.00118966
4,715.748,0.9551,0.70404,1.39035,0.97094,0.91605,0.96474,0.76878,0.86168,0.66017,1.36666,0.0009406,0.0009406,0.0009406
5,892.704,0.89305,0.6323,1.31614,0.95969,0.94284,0.97631,0.77417,0.8289,0.57404,1.32669,0.0009208,0.0009208,0.0009208
6,1069.81,0.84129,0.59131,1.26427,0.97187,0.94593,0.98174,0.81414,0.72239,0.54292,1.21414,0.000901,0.000901,0.000901
7,1246.67,0.8017,0.55151,1.22964,0.9779,0.94364,0.98213,0.80974,0.71367,0.49137,1.22095,0.0008812,0.0008812,0.0008812
8,1423.03,0.78047,0.53054,1.2072,0.98336,0.94212,0.98114,0.81556,0.69881,0.49923,1.1977,0.0008614,0.0008614,0.0008614
9,1600.1,0.74728,0.49957,1.18175,0.97521,0.96344,0.98662,0.81524,0.69456,0.48014,1.17712,0.0008416,0.0008416,0.0008416
10,1775.67,0.75342,0.49478,1.18894,0.97807,0.95129,0.98704,0.8345,0.63222,0.4325,1.16248,0.0008218,0.0008218,0.0008218
11,1952.27,0.72697,0.48662,1.16069,0.97244,0.96573,0.99019,0.84263,0.62127,0.42696,1.14978,0.000802,0.000802,0.000802
12,2130.65,0.72647,0.48272,1.16226,0.98276,0.95511,0.98913,0.83942,0.61994,0.40525,1.12539,0.0007822,0.0007822,0.0007822
13,2306.4,0.70653,0.45603,1.14192,0.97179,0.96268,0.99024,0.84313,0.61461,0.408,1.12475,0.0007624,0.0007624,0.0007624
14,2483.73,0.67529,0.43823,1.12224,0.97823,0.97334,0.99055,0.85385,0.56857,0.39333,1.09402,0.0007426,0.0007426,0.0007426
15,2663.55,0.66756,0.43196,1.11077,0.9666,0.94766,0.98096,0.84776,0.58866,0.43055,1.1,0.0007228,0.0007228,0.0007228
16,2838.16,0.66035,0.42801,1.11157,0.97473,0.97411,0.99175,0.86402,0.58505,0.37553,1.09608,0.000703,0.000703,0.000703
17,3014.78,0.64821,0.41669,1.09379,0.98361,0.95992,0.99274,0.8578,0.60426,0.37028,1.10356,0.0006832,0.0006832,0.0006832
18,3191.6,0.65608,0.41556,1.0986,0.9753,0.96225,0.99092,0.85564,0.56903,0.38221,1.08831,0.0006634,0.0006634,0.0006634
19,3367.78,0.63654,0.40461,1.09321,0.97869,0.9703,0.99157,0.86611,0.55739,0.34799,1.07306,0.0006436,0.0006436,0.0006436
20,3544.91,0.62868,0.4163,1.08219,0.98605,0.96907,0.99312,0.86443,0.55322,0.34333,1.07217,0.0006238,0.0006238,0.0006238
21,3720.82,0.62856,0.39461,1.07893,0.96994,0.97563,0.99151,0.86689,0.53649,0.33099,1.05941,0.000604,0.000604,0.000604
22,3899.8,0.61101,0.38332,1.07388,0.98152,0.97059,0.99271,0.87433,0.53404,0.32743,1.0581,0.0005842,0.0005842,0.0005842
